,Timestamp,(d/dt)p,(d/dt)VE,PE,Roll,VE,p,Mu_roll,Flight Time (s)
1200,91870000.0,-0.0174532925239284,-0.029424958000000306,-0.7069137,0.0130899693929462,0.06033935,0.0008726646261964,-0.0005,60.0
1201,91870005.0,-0.0872664626196475,-0.008747407999999908,-0.7050710499999998,0.0130899693929462,0.0600023749999999,0.0,0.0,60.05
1202,91870010.0,-0.1570796327153555,0.023117942000002195,-0.7032284,0.0130899693929462,0.0596654,-0.0078539816357683,0.0005,60.1
1203,91870015.0,-0.0610865238337338,0.05498329199999989,-0.7018010499999998,0.0123045712293694,0.0625149600000002,-0.0157079632715355,0.0,60.150000000000006
1204,91870020.0,0.0349065850478566,-0.007464907999999607,-0.7003737,0.0115191730657927,0.06536452,-0.0139626340191417,-0.0005,60.2
1205,91870025.0,0.0087266462619549,-0.0699131079999999,-0.6991018000000001,0.0109083078274552,0.0619692600000002,-0.0122173047667498,0.0,60.25
1206,91870030.0,-0.0174532925239282,-0.016807508000003708,-0.6978299,0.0102974425891177,0.058574,-0.0130899693929462,0.0005,60.3
1207,91870035.0,0.0959931088816005,0.03629809199999989,-0.69738145,0.0095993108881606,0.0604892999999998,-0.0139626340191427,0.0,60.35
1208,91870040.0,0.2094395102871406,0.005796992000001293,-0.696933,0.0089011791872034,0.0624046,-0.0034906585047861,-0.0005,60.400000000000006
1209,91870045.0,0.0785398163576832,-0.024704108000000006,-0.6970566499999999,0.009250245037682,0.06126979,0.0069813170095713,0.0,60.45
1210,91870050.0,-0.0523598775717851,-0.027280408000000905,-0.6971803,0.0095993108881606,0.06013498,0.0043633231309821,0.0005,60.5
1211,91870055.0,0.0261799387858956,-0.029856707999999905,-0.69723285,0.0096865773507802,0.0587425399999999,0.0017453292523928,0.0005,60.55
1212,91870060.0,0.1047197551435702,0.024651042000003894,-0.6972853999999999,0.0097738438133999,0.0573501,0.0069813170095717,0.0005,60.6
1213,91870065.0,-0.0261799387858993,0.0791587919999999,-0.6966912,0.0103847090517374,0.0614084350000002,0.0122173047667498,0.0,60.650000000000006
1214,91870070.0,-0.1570796327153555,0.027980841999997695,-0.696097,0.0109955742900748,0.06546677,0.0043633231309817,-0.0005,60.7
1215,91870075.0,-0.0610865238337475,-0.023197107999999907,-0.6952074500000001,0.0108210413648356,0.06440731,-0.0034906585047856,-0.0005,60.75
1216,91870080.0,0.0349065850478568,-0.04140175799999861,-0.6943178999999999,0.0106465084395963,0.06334785,-0.0017453292523929,-0.0005,60.8
1217,91870085.0,-0.0261799387858913,-0.05960640799999991,-0.6932015,0.0106465084395963,0.0604679250000002,0.0,0.0,60.85
1218,91870090.0,-0.0872664626196418,-0.031286258000001906,-0.6920851,0.0106465084395963,0.057588,-0.004363323130982,0.0005,60.900000000000006
1219,91870095.0,-0.0174532925239294,-0.0029661080000000072,-0.692341,0.0102101761264981,0.05754009,-0.0087266462619641,0.0005,60.95
1220,91870100.0,0.0523598775717849,-0.05209920800000351,-0.6925969,0.0097738438133999,0.05749218,-0.006108652383375,0.0005,61.0
1221,91870105.0,0.1308996939294714,-0.1012323079999999,-0.6928517000000001,0.0095993108881606,0.0525309599999996,-0.0034906585047856,0.0,61.05
1222,91870110.0,0.2094395102871408,-0.10111735799999991,-0.6931065,0.0094247779629213,0.04756974,0.0069813170095721,-0.0005,61.1
1223,91870115.0,0.1308996939294412,-0.1010024079999999,-0.6954580500000002,0.0102974425891178,0.0426200149999996,0.0174532925239283,-0.0005,61.150000000000006
1224,91870120.0,0.0523598775717852,-0.004719007999999707,-0.6978096,0.0111701072153141,0.03767029,0.0200712864025162,-0.0005,61.2
1225,91870125.0,0.0261799387859069,0.091564392,-0.6988563499999999,0.0123045712293694,0.0423489049999996,0.0226892802811069,0.0,61.25
1226,91870130.0,0.0,-0.03125065799999121,-0.6999031,0.0134390352434248,0.04702752,0.0226892802811069,0.0005,61.3
1227,91870135.0,-0.0436332313098131,-0.154065708,-0.7015275999999999,0.0145734992574801,0.0394246300000005,0.0226892802811069,0.0005,61.35
1228,91870140.0,-0.0872664626196421,-0.0020336580000054664,-0.7031521,0.0157079632715355,0.03182174,0.0183259571501256,0.0005,61.400000000000006
1229,91870145.0,-0.1570796327153663,0.1499983919999999,-0.7038703,0.0164060949724926,0.039422055,0.0139626340191427,0.0005,61.45
1230,91870150.0,-0.226892802811069,0.1091630920000025,-0.7045885,0.0171042266734498,0.04702237,0.0026179938785889,0.0005,61.5
1231,91870155.0,-0.0872664626196374,0.0683277919999999,-0.7057412500000001,0.0166678943603515,0.0505391550000002,-0.0087266462619641,0.0005,61.55
1232,91870160.0,0.0523598775717851,0.013597141999995992,-0.706894,0.0162315620472534,0.05405594,-0.0061086523833747,0.0005,61.6
1233,91870165.0,0.0610865238337476,-0.04113350799999991,-0.7076932,0.0160570291220141,0.0520996599999998,-0.0034906585047856,0.0,61.650000000000006
1234,91870170.0,0.0698131700957137,-0.071238207999995,-0.7084924,0.0158824961967748,0.05014338,0.0,-0.0005,61.7
1235,91870175.0,0.0698131700957109,-0.1013429079999999,-0.7104134999999998,0.0160570291220141,0.0451766300000003,0.0034906585047856,0.0,61.75
1236,91870180.0,0.0698131700957133,-0.1181689079999987,-0.7123345999999999,0.0162315620472534,0.04020988,0.006981317009571,0.0005,61.8
1237,91870185.0,0.0959931088816125,-0.134994908,-0.7147232499999998,0.0167551608229712,0.0335605300000004,0.010471975514357,0.0,61.85
